Time(ms),ADC,Voltage(V)
0.000,678,0.729
32.000,678,0.729
32.000,678,0.729
32.000,679,0.730
32.000,678,0.729
32.000,679,0.730
32.000,679,0.730
32.000,679,0.730
32.000,678,0.729
47.000,679,0.730
47.000,678,0.729
47.000,679,0.730
47.000,679,0.730
47.000,678,0.729
47.000,678,0.729
47.000,679,0.730
47.000,679,0.730
47.000,679,0.730
47.000,679,0.730
63.000,678,0.729
94.000,679,0.730
94.000,678,0.729
94.000,679,0.730
94.000,680,0.731
94.000,679,0.730
94.000,679,0.730
94.000,679,0.730
94.000,679,0.730
94.000,679,0.730
110.000,679,0.730
110.000,679,0.730
110.000,679,0.730
125.000,679,0.730
125.000,679,0.730
157.000,679,0.730
157.000,679,0.730
157.000,679,0.730
157.000,679,0.730
157.000,679,0.730
157.000,679,0.730
157.000,679,0.730
172.000,679,0.730
172.000,679,0.730
172.000,679,0.730
188.000,679,0.730
188.000,679,0.730
188.000,679,0.730
203.000,679,0.730
235.000,679,0.730
235.000,680,0.731
235.000,680,0.731
235.000,679,0.730
235.000,680,0.731
235.000,679,0.730
235.000,679,0.730
235.000,679,0.730
235.000,679,0.730
250.000,679,0.730
250.000,679,0.730
282.000,679,0.730
282.000,679,0.730
282.000,679,0.730
282.000,678,0.729
282.000,679,0.730
297.000,680,0.731
297.000,679,0.730
297.000,680,0.731
297.000,679,0.730
297.000,680,0.731
313.000,680,0.731
313.000,679,0.730
313.000,679,0.730
328.000,680,0.731
328.000,679,0.730
328.000,679,0.730
375.000,679,0.730
375.000,680,0.731
407.000,679,0.730
407.000,680,0.731
407.000,680,0.731
407.000,679,0.730
407.000,680,0.731
407.000,680,0.731
407.000,680,0.731
407.000,680,0.731
407.000,680,0.731
407.000,681,0.732
407.000,680,0.731
407.000,680,0.731
407.000,680,0.731
407.000,680,0.731
422.000,680,0.731
422.000,680,0.731
422.000,680,0.731
438.000,680,0.731
438.000,680,0.731
438.000,680,0.731
453.000,680,0.731
453.000,680,0.731
453.000,680,0.731
469.000,680,0.731
469.000,680,0.731
516.000,680,0.731
547.000,680,0.731
547.000,681,0.732
547.000,680,0.731
547.000,680,0.731
547.000,680,0.731
547.000,680,0.731
547.000,680,0.731
547.000,681,0.732
547.000,680,0.731
547.000,680,0.731
547.000,680,0.731
547.000,680,0.731
547.000,680,0.731
547.000,680,0.731
547.000,680,0.731
547.000,680,0.731
563.000,680,0.731
563.000,680,0.731
563.000,680,0.731
578.000,680,0.731
578.000,680,0.731
578.000,681,0.732
594.000,681,0.732
594.000,681,0.732
594.000,681,0.732
610.000,681,0.732
610.000,680,0.731
610.000,681,0.732
672.000,681,0.732
672.000,681,0.732
672.000,680,0.731
672.000,681,0.732
672.000,680,0.731
672.000,681,0.732
672.000,681,0.732
672.000,681,0.732
672.000,681,0.732
672.000,681,0.732
672.000,681,0.732
672.000,681,0.732
672.000,681,0.732
688.000,681,0.732
688.000,681,0.732
688.000,681,0.732
703.000,681,0.732
703.000,681,0.732
703.000,681,0.732
719.000,681,0.732
719.000,681,0.732
719.000,681,0.732
735.000,681,0.732
735.000,681,0.732
813.000,681,0.732
813.000,681,0.732
813.000,681,0.732
813.000,681,0.732
813.000,681,0.732
813.000,681,0.732
813.000,681,0.732
813.000,681,0.732
813.000,681,0.732
813.000,681,0.732
813.000,681,0.732
813.000,681,0.732
813.000,682,0.733
813.000,682,0.733
813.000,681,0.732
813.000,682,0.733
828.000,682,0.733
828.000,681,0.732
828.000,681,0.732
844.000,681,0.732
844.000,682,0.733
844.000,681,0.732
844.000,681,0.732
860.000,682,0.733
860.000,681,0.732
907.000,681,0.732
938.000,681,0.732
938.000,681,0.732
969.000,682,0.733
1000.000,681,0.732
1000.000,682,0.733
1000.000,682,0.733
1000.000,681,0.732
1000.000,682,0.733
1000.000,682,0.733
1000.000,682,0.733
1000.000,682,0.733
1000.000,682,0.733
1000.000,682,0.733
1000.000,682,0.733
1000.000,682,0.733
1000.000,682,0.733
1000.000,682,0.733
1000.000,682,0.733
1000.000,682,0.733
1000.000,681,0.732
1000.000,682,0.733
1000.000,682,0.733
1000.000,682,0.733
1000.000,681,0.732
1000.000,682,0.733
1016.000,683,0.734
1016.000,682,0.733
1016.000,682,0.733
1016.000,682,0.733
1016.000,682,0.733
1016.000,682,0.733
1032.000,682,0.733
1032.000,682,0.733
1032.000,683,0.734
1078.000,683,0.734
1078.000,682,0.733
1078.000,682,0.733
1078.000,682,0.733
1078.000,682,0.733
1078.000,682,0.733
1094.000,682,0.733
1094.000,682,0.733
1094.000,682,0.733
1094.000,682,0.733
1094.000,683,0.734
1094.000,683,0.734
1110.000,683,0.734
1141.000,683,0.734
1141.000,683,0.734
1141.000,683,0.734
1141.000,684,0.735
1141.000,684,0.735
1141.000,684,0.735
1141.000,684,0.735
1141.000,684,0.735
1141.000,684,0.735
1157.000,684,0.735
1157.000,684,0.735
1157.000,684,0.735
1172.000,685,0.737
1172.000,685,0.737
1203.000,685,0.737
1203.000,686,0.738
1203.000,685,0.737
1203.000,685,0.737
1203.000,686,0.738
1219.000,686,0.738
1219.000,686,0.738
1219.000,686,0.738
1219.000,687,0.739
1219.000,686,0.738
1235.000,686,0.738
1235.000,686,0.738
1235.000,687,0.739
1250.000,687,0.739
1282.000,687,0.739
1282.000,687,0.739
1282.000,687,0.739
1282.000,687,0.739
1282.000,688,0.740
1282.000,688,0.740
1282.000,688,0.740
1282.000,688,0.740
1297.000,688,0.740
1297.000,688,0.740
1313.000,688,0.740
1328.000,689,0.741
1328.000,689,0.741
1328.000,689,0.741
1328.000,690,0.742
1328.000,689,0.741
1328.000,689,0.741
1328.000,670,0.720
1344.000,671,0.722
1344.000,671,0.722
1344.000,671,0.722
1360.000,671,0.722
1360.000,671,0.722
1360.000,670,0.720
1375.000,670,0.720
1375.000,670,0.720
1407.000,670,0.720
1407.000,670,0.720
1407.000,670,0.720
1407.000,669,0.719
1407.000,669,0.719
1407.000,669,0.719
1407.000,669,0.719
1422.000,669,0.719
1422.000,669,0.719
1422.000,669,0.719
1438.000,669,0.719
1469.000,667,0.717
1469.000,668,0.718
1469.000,667,0.717
1469.000,667,0.717
1469.000,667,0.717
1469.000,666,0.716
1469.000,666,0.716
1469.000,665,0.715
1469.000,665,0.715
1485.000,665,0.715
1485.000,665,0.715
1485.000,664,0.714
1500.000,665,0.715
1500.000,664,0.714
1500.000,664,0.714
1547.000,664,0.714
1547.000,662,0.712
1547.000,662,0.712
1547.000,662,0.712
1547.000,662,0.712
1547.000,662,0.712
1547.000,662,0.712
1547.000,661,0.711
1547.000,661,0.711
1563.000,661,0.711
1563.000,661,0.711
1594.000,661,0.711
1594.000,660,0.710
1594.000,661,0.711
1594.000,661,0.711
1594.000,661,0.711
1594.000,661,0.711
1594.000,661,0.711
1610.000,661,0.711
1610.000,662,0.712
1610.000,661,0.711
1625.000,662,0.712
1625.000,661,0.711
1625.000,662,0.712
1625.000,662,0.712
1641.000,662,0.712
1641.000,662,0.712
1657.000,661,0.711
1672.000,662,0.712
1672.000,662,0.712
1672.000,662,0.712
1672.000,662,0.712
1672.000,662,0.712
1672.000,662,0.712
1688.000,662,0.712
1688.000,662,0.712
1688.000,662,0.712
1703.000,662,0.712
1735.000,662,0.712
1735.000,662,0.712
1735.000,663,0.713
1735.000,662,0.712
1735.000,662,0.712
1735.000,662,0.712
1735.000,663,0.713
1735.000,662,0.712
1750.000,662,0.712
1750.000,662,0.712
1750.000,662,0.712
1750.000,662,0.712
1766.000,662,0.712
1766.000,662,0.712
1797.000,662,0.712
1797.000,662,0.712
1797.000,663,0.713
1797.000,662,0.712
1797.000,662,0.712
1797.000,662,0.712
1797.000,662,0.712
1813.000,662,0.712
1813.000,663,0.713
1813.000,663,0.713
1828.000,662,0.712
1828.000,663,0.713
1828.000,663,0.713
1875.000,663,0.713
1875.000,663,0.713
1875.000,663,0.713
1875.000,662,0.712
1875.000,663,0.713
1875.000,663,0.713
1875.000,663,0.713
1875.000,663,0.713
1875.000,663,0.713
1891.000,662,0.712
1891.000,663,0.713
1922.000,663,0.713
1922.000,663,0.713
1922.000,663,0.713
1922.000,663,0.713
1922.000,663,0.713
1922.000,663,0.713
1922.000,663,0.713
1922.000,663,0.713
1938.000,663,0.713
1938.000,663,0.713
1953.000,663,0.713
1953.000,664,0.714
1953.000,663,0.713
1953.000,663,0.713
1969.000,663,0.713
1969.000,663,0.713
1969.000,663,0.713
1985.000,663,0.713
2016.000,663,0.713
2032.000,663,0.713
2063.000,663,0.713
2063.000,663,0.713
2063.000,663,0.713
2063.000,663,0.713
2063.000,663,0.713
2063.000,664,0.714
2063.000,664,0.714
2063.000,664,0.714
2063.000,664,0.714
2063.000,663,0.713
2063.000,664,0.714
2063.000,664,0.714
2063.000,664,0.714
2063.000,664,0.714
2063.000,663,0.713
2078.000,664,0.714
2078.000,664,0.714
2078.000,664,0.714
2094.000,664,0.714
2094.000,664,0.714
2094.000,664,0.714
2094.000,664,0.714
2110.000,664,0.714
2110.000,664,0.714
2110.000,663,0.713
2125.000,664,0.714
2125.000,664,0.714
2125.000,664,0.714
2141.000,664,0.714
2172.000,664,0.714
2203.000,664,0.714
2203.000,664,0.714
2203.000,664,0.714
2203.000,664,0.714
2203.000,664,0.714
2203.000,664,0.714
2203.000,664,0.714
2203.000,664,0.714
2203.000,664,0.714
2203.000,664,0.714
2203.000,664,0.714
2203.000,664,0.714
2203.000,664,0.714
2219.000,664,0.714
2219.000,664,0.714
2219.000,664,0.714
2235.000,665,0.715
2235.000,664,0.714
2235.000,664,0.714
2235.000,664,0.714
2250.000,664,0.714
2250.000,664,0.714
2266.000,664,0.714
2266.000,665,0.715
2266.000,664,0.714
2297.000,664,0.714
2328.000,664,0.714
2328.000,664,0.714
2328.000,664,0.714
2328.000,665,0.715
2328.000,665,0.715
2328.000,664,0.714
2328.000,664,0.714
2328.000,665,0.715
2328.000,664,0.714
2328.000,664,0.714
2328.000,664,0.714
2328.000,665,0.715
2344.000,665,0.715
2344.000,665,0.715
2344.000,664,0.714
2360.000,665,0.715
2360.000,665,0.715
2360.000,664,0.714
2375.000,665,0.715
2375.000,664,0.714
2375.000,664,0.714
2391.000,664,0.714
2391.000,665,0.715
2422.000,665,0.715
2422.000,665,0.715
2453.000,665,0.715
2453.000,665,0.715
2453.000,665,0.715
2453.000,665,0.715
2453.000,665,0.715
2453.000,665,0.715
2453.000,665,0.715
2453.000,665,0.715
2453.000,666,0.716
2453.000,667,0.717
2453.000,668,0.718
2453.000,669,0.719
2469.000,670,0.720
2469.000,669,0.719
2469.000,669,0.719
2485.000,669,0.719
2485.000,670,0.720
2485.000,669,0.719
2500.000,670,0.720
2500.000,670,0.720
2500.000,669,0.719
2516.000,669,0.719
2516.000,670,0.720
2547.000,669,0.719
2578.000,669,0.719
2578.000,669,0.719
2578.000,669,0.719
2578.000,670,0.720
2578.000,670,0.720
2578.000,669,0.719
2578.000,670,0.720
2578.000,670,0.720
2578.000,670,0.720
2578.000,670,0.720
2578.000,670,0.720
2578.000,670,0.720
2578.000,670,0.720
2594.000,670,0.720
2594.000,670,0.720
2610.000,670,0.720
2610.000,669,0.719
2610.000,670,0.720
2610.000,670,0.720
2625.000,670,0.720
2625.000,670,0.720
2625.000,671,0.722
2641.000,672,0.723
2641.000,672,0.723
2672.000,672,0.723
2703.000,672,0.723
2703.000,672,0.723
2703.000,672,0.723
2703.000,672,0.723
2703.000,672,0.723
2703.000,672,0.723
2703.000,672,0.723
2703.000,672,0.723
2703.000,672,0.723
2703.000,672,0.723
2703.000,672,0.723
2703.000,672,0.723
2719.000,673,0.724
2719.000,674,0.725
2719.000,673,0.724
2735.000,673,0.724
2735.000,673,0.724
2735.000,674,0.725
2735.000,674,0.725
2750.000,674,0.725
2750.000,674,0.725
2750.000,674,0.725
2766.000,673,0.724
2766.000,674,0.725
2828.000,674,0.725
2828.000,673,0.724
2828.000,674,0.725
2828.000,673,0.724
2828.000,673,0.724
2828.000,674,0.725
2828.000,674,0.725
2828.000,674,0.725
2828.000,674,0.725
2828.000,674,0.725
2828.000,674,0.725
2828.000,674,0.725
2828.000,674,0.725
2844.000,674,0.725
2844.000,674,0.725
2844.000,674,0.725
2860.000,675,0.726
2860.000,675,0.726
2860.000,675,0.726
2875.000,675,0.726
2875.000,675,0.726
2875.000,675,0.726
2891.000,675,0.726
2891.000,674,0.725
2953.000,674,0.725
2953.000,675,0.726
2953.000,675,0.726
2953.000,675,0.726
2953.000,676,0.727
2953.000,675,0.726
2953.000,675,0.726
2953.000,675,0.726
2953.000,675,0.726
2953.000,675,0.726
2953.000,675,0.726
2953.000,676,0.727
2953.000,675,0.726
2953.000,676,0.727
2969.000,676,0.727
2969.000,675,0.726
2969.000,676,0.727
