Time(ms),ADC,Voltage(V)
387,624,0.671
392,624,0.671
397,625,0.672
402,625,0.672
407,624,0.671
412,625,0.672
417,624,0.671
422,625,0.672
427,625,0.672
432,625,0.672
437,625,0.672
442,625,0.672
447,625,0.672
452,626,0.673
457,626,0.673
462,625,0.672
467,625,0.672
472,625,0.672
477,625,0.672
482,625,0.672
487,626,0.673
492,625,0.672
497,626,0.673
502,626,0.673
507,626,0.673
512,626,0.673
517,626,0.673
522,626,0.673
527,626,0.673
532,626,0.673
537,626,0.673
542,626,0.673
547,627,0.674
552,627,0.674
557,626,0.673
562,626,0.673
567,626,0.673
572,626,0.673
577,626,0.673
582,627,0.674
587,626,0.673
592,627,0.674
598,627,0.674
603,626,0.673
608,626,0.673
613,626,0.673
618,627,0.674
623,627,0.674
628,627,0.674
633,627,0.674
638,627,0.674
643,627,0.674
648,627,0.674
653,627,0.674
658,627,0.674
663,629,0.676
668,627,0.674
673,627,0.674
678,627,0.674
683,627,0.674
688,627,0.674
693,627,0.674
698,627,0.674
703,627,0.674
708,627,0.674
713,627,0.674
718,628,0.675
723,628,0.675
728,627,0.674
733,627,0.674
738,627,0.674
743,628,0.675
748,628,0.675
753,628,0.675
758,627,0.674
763,627,0.674
768,628,0.675
773,628,0.675
778,628,0.675
783,628,0.675
788,628,0.675
793,627,0.674
798,628,0.675
803,627,0.674
808,628,0.675
813,628,0.675
818,628,0.675
823,628,0.675
828,628,0.675
833,628,0.675
838,628,0.675
843,628,0.675
848,628,0.675
854,628,0.675
859,628,0.675
864,628,0.675
869,628,0.675
874,628,0.675
879,629,0.676
884,629,0.676
889,629,0.676
894,629,0.676
899,629,0.676
904,629,0.676
909,629,0.676
914,630,0.677
919,630,0.677
924,630,0.677
929,630,0.677
934,630,0.677
939,630,0.677
944,630,0.677
949,630,0.677
954,630,0.677
959,630,0.677
964,630,0.677
969,630,0.677
974,630,0.677
979,630,0.677
984,630,0.677
989,630,0.677
994,630,0.677
999,630,0.677
1004,630,0.677
1009,630,0.677
1014,630,0.677
1019,631,0.678
1024,631,0.678
1029,631,0.678
1034,631,0.678
1039,631,0.678
1044,631,0.678
1049,631,0.678
1054,631,0.678
1059,631,0.678
1064,631,0.678
1069,631,0.678
1074,631,0.678
1079,632,0.680
1084,632,0.680
1089,632,0.680
1094,632,0.680
1099,632,0.680
1104,632,0.680
1110,632,0.680
1115,631,0.678
1120,632,0.680
1125,632,0.680
1130,632,0.680
1135,632,0.680
1140,632,0.680
1145,632,0.680
1150,632,0.680
1155,633,0.681
1160,632,0.680
1165,633,0.681
1170,632,0.680
1175,633,0.681
1180,632,0.680
1185,632,0.680
1190,632,0.680
1195,632,0.680
1200,632,0.680
1205,632,0.680
1210,633,0.681
1215,633,0.681
1220,633,0.681
1225,633,0.681
1230,634,0.682
1235,633,0.681
1240,634,0.682
1245,633,0.681
1250,633,0.681
1255,633,0.681
1260,634,0.682
1265,634,0.682
1270,634,0.682
1275,634,0.682
1280,634,0.682
1285,634,0.682
1290,634,0.682
1295,634,0.682
1300,633,0.681
1305,634,0.682
1310,634,0.682
1315,634,0.682
1320,633,0.681
1325,634,0.682
1330,634,0.682
1335,634,0.682
1340,634,0.682
1345,634,0.682
1350,634,0.682
1355,634,0.682
1360,634,0.682
1366,634,0.682
1371,634,0.682
1376,634,0.682
1381,634,0.682
1386,634,0.682
1391,634,0.682
1396,634,0.682
1401,634,0.682
1406,634,0.682
1411,634,0.682
1416,634,0.682
1421,634,0.682
1426,634,0.682
1431,635,0.683
1436,634,0.682
1441,635,0.683
1446,634,0.682
1451,634,0.682
1456,634,0.682
1461,634,0.682
1466,634,0.682
1471,634,0.682
1476,635,0.683
1481,634,0.682
1486,634,0.682
1491,635,0.683
1496,635,0.683
1501,635,0.683
1506,634,0.682
1511,635,0.683
1516,635,0.683
1521,635,0.683
1526,636,0.684
1531,636,0.684
1536,636,0.684
1541,637,0.685
1546,636,0.684
1551,637,0.685
1556,637,0.685
1561,637,0.685
1566,637,0.685
1571,637,0.685
1576,637,0.685
1581,637,0.685
1586,636,0.684
1591,637,0.685
1596,637,0.685
1601,637,0.685
1606,637,0.685
1611,637,0.685
1616,637,0.685
1622,637,0.685
1627,637,0.685
1632,637,0.685
1637,638,0.686
1642,637,0.685
1647,637,0.685
1652,638,0.686
1657,638,0.686
1662,638,0.686
1667,637,0.685
1672,638,0.686
1677,638,0.686
1682,638,0.686
1687,638,0.686
1692,638,0.686
1697,637,0.685
1702,638,0.686
1707,638,0.686
1712,638,0.686
1717,637,0.685
1722,638,0.686
1727,638,0.686
1732,638,0.686
1737,638,0.686
1742,639,0.687
1747,639,0.687
1752,639,0.687
1757,638,0.686
1762,638,0.686
1767,639,0.687
1772,638,0.686
1777,638,0.686
1782,638,0.686
1787,638,0.686
1792,638,0.686
1797,639,0.687
1802,638,0.686
1807,638,0.686
1812,639,0.687
1817,638,0.686
1822,639,0.687
1827,638,0.686
1832,639,0.687
1837,640,0.688
1842,640,0.688
1847,640,0.688
1852,639,0.687
1857,640,0.688
1862,640,0.688
1867,640,0.688
1872,639,0.687
1878,640,0.688
1883,640,0.688
1888,640,0.688
1893,640,0.688
1898,640,0.688
1903,640,0.688
1908,640,0.688
1913,640,0.688
1918,640,0.688
1923,638,0.686
1928,640,0.688
1933,640,0.688
1938,640,0.688
1943,640,0.688
1948,641,0.689
1953,640,0.688
1958,641,0.689
1963,640,0.688
1968,640,0.688
1973,640,0.688
1978,640,0.688
1983,640,0.688
1988,641,0.689
1993,640,0.688
1998,641,0.689
2003,640,0.688
2008,640,0.688
2013,640,0.688
2018,640,0.688
2023,640,0.688
2028,641,0.689
2033,640,0.688
2038,641,0.689
2043,641,0.689
2048,641,0.689
2053,641,0.689
2058,641,0.689
