Time(ms),ADC,Voltage(V)
0.000,667,0.717
0.000,668,0.718
62.000,668,0.718
94.000,668,0.718
94.000,668,0.718
94.000,668,0.718
94.000,667,0.717
94.000,668,0.718
94.000,668,0.718
94.000,668,0.718
94.000,668,0.718
94.000,668,0.718
94.000,667,0.717
94.000,668,0.718
94.000,668,0.718
94.000,668,0.718
94.000,668,0.718
94.000,668,0.718
94.000,668,0.718
94.000,668,0.718
94.000,668,0.718
94.000,668,0.718
94.000,668,0.718
94.000,668,0.718
94.000,668,0.718
94.000,668,0.718
94.000,668,0.718
94.000,668,0.718
94.000,668,0.718
94.000,668,0.718
94.000,668,0.718
94.000,668,0.718
94.000,668,0.718
94.000,669,0.719
94.000,668,0.718
94.000,668,0.718
94.000,668,0.718
94.000,669,0.719
94.000,669,0.719
94.000,669,0.719
94.000,668,0.718
109.000,668,0.718
109.000,668,0.718
109.000,668,0.718
109.000,669,0.719
125.000,669,0.719
125.000,668,0.718
125.000,669,0.719
141.000,669,0.719
141.000,668,0.718
141.000,669,0.719
156.000,668,0.718
156.000,668,0.718
156.000,669,0.719
203.000,668,0.718
250.000,668,0.718
250.000,669,0.719
250.000,670,0.720
250.000,668,0.718
250.000,669,0.719
250.000,669,0.719
250.000,669,0.719
250.000,669,0.719
250.000,669,0.719
250.000,669,0.719
250.000,669,0.719
250.000,669,0.719
250.000,669,0.719
250.000,669,0.719
250.000,669,0.719
250.000,669,0.719
250.000,669,0.719
266.000,669,0.719
266.000,669,0.719
266.000,669,0.719
266.000,669,0.719
281.000,669,0.719
281.000,670,0.720
281.000,670,0.720
297.000,669,0.719
297.000,670,0.720
344.000,670,0.720
359.000,669,0.719
391.000,669,0.719
391.000,669,0.719
391.000,669,0.719
391.000,669,0.719
391.000,669,0.719
391.000,670,0.720
391.000,669,0.719
391.000,670,0.720
391.000,669,0.719
391.000,670,0.720
391.000,669,0.719
391.000,669,0.719
391.000,669,0.719
391.000,669,0.719
391.000,670,0.720
391.000,669,0.719
391.000,670,0.720
391.000,669,0.719
406.000,669,0.719
406.000,669,0.719
406.000,670,0.720
422.000,670,0.720
422.000,669,0.719
422.000,670,0.720
437.000,669,0.719
437.000,670,0.720
484.000,670,0.720
516.000,670,0.720
531.000,670,0.720
531.000,670,0.720
531.000,669,0.719
531.000,670,0.720
531.000,669,0.719
531.000,669,0.719
531.000,670,0.720
531.000,670,0.720
531.000,670,0.720
531.000,670,0.720
531.000,670,0.720
531.000,670,0.720
531.000,670,0.720
531.000,670,0.720
531.000,670,0.720
531.000,670,0.720
531.000,670,0.720
547.000,669,0.719
547.000,670,0.720
547.000,670,0.720
562.000,670,0.720
562.000,670,0.720
562.000,670,0.720
562.000,670,0.720
578.000,670,0.720
625.000,670,0.720
656.000,670,0.720
656.000,671,0.722
656.000,670,0.720
656.000,670,0.720
656.000,670,0.720
656.000,670,0.720
656.000,670,0.720
672.000,670,0.720
672.000,670,0.720
672.000,670,0.720
672.000,670,0.720
672.000,670,0.720
672.000,670,0.720
672.000,670,0.720
672.000,670,0.720
672.000,670,0.720
672.000,671,0.722
672.000,670,0.720
672.000,670,0.720
687.000,670,0.720
687.000,670,0.720
687.000,671,0.722
703.000,670,0.720
703.000,670,0.720
703.000,671,0.722
703.000,671,0.722
719.000,671,0.722
719.000,671,0.722
766.000,671,0.722
